Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,testing question? (8vufenf),"Have you noticed surveillance technologies in your neighborhood that were installed by the government, police, or private businesses (not personal home cameras like Ring or Nest)? (lw3083d)",What is your ZIP code? (7bepp7b),participantID,assignmentID,projectID,startedAt,computerCountry,computerID,device,Which of the following surveillance tools have you heard of or seen in your city? (Select all that apply) (8dl9hmt),"How concerned are you about surveillance technology in public spaces like streets, sidewalks, or public transit? (n15scu9)",How often do you notice surveillance cameras or sensors in your neighborhood or daily routine? (6itkmu),How familiar are you with how automatic license plate reader (ALPR) cameras work? (724al0n),"After being approved by local governments, private companies like Flock Safety install Automatic License Plate Reader (ALPR) cameras in neighborhoods and share data with police. Before today, how aware were you of that fact? (50mnfkf)","In some Bay Area cities, Automatic License Plate Reader (ALPR) cameras store an image of your license plate, vehicle make and model, and location in a searchable database for up to 12 months every time you drive past one. Before today, how aware were you of that fact? (6s6r3ex)","Police can search the Automatic License Plate Reader (ALPR) database for your data without a warrant or approval from any other organization. Before today, how aware were you of that fact? (zke2ete)","Police can legally share your license plate Automatic License Plate Reader (ALPR) data with other local governments/police departments within California at any time without a warrant. Before today, how aware were you of that fact? (skzr4a8)","The image above shows locations and number of Automatic License Plate Reader (ALPR) cameras in the Bay Area reported by residents. Actual locations and counts may vary, but there is likely to be more installed than shown in the image. Before today, how aware were you of the number of ALPR cameras in the Bay Area? (3eg0nl6)",How supportive are you of Automatic License Plate Reader (ALPR) cameras installed by local governments and used by law enforcement? (y7ka0mc),How supportive are you of private individuals or businesses installing Automatic License Plate Reader (ALPR) cameras and sharing the data voluntarily with police? (uktyzgu),Have you ever felt uncomfortable or treated unfairly due to surveillance technology? (5bdjc2c),"veiHow concerned are you that surllance technologies may harm others (e.g., unhoused people, immigrants, protesters), even if they don’t affect you personally? (gvrrsub)",Do you believe surveillance is being used more for public safety or social control? (cfu4j56),Which of the following groups should have access to surveillance data? (Select all that apply) (bgnrn84),Who do you trust to make decisions about how surveillance is used in your city? (Select all that apply) (w02ux9i),How important is it to you that the public has input or oversight before new surveillance technologies are adopted? (ttzmqna),"How likely do you think it is that police would share Automatic License Plate Reader (ALPR) data with federal agencies, even if not legally allowed? (gnnu4ft)",It’s okay for police to track and store the location data of people who haven’t done anything wrong. (nd9oynf),"Surveillance technologies such as ALPRs disproportionately impact marginalized communities (e.g., by race, income, housing status, or immigration status)? (f1j1olu)",Surveillance technologies such as ALPRs increase public safety. (u84m4pd),What should be done about ALPRs in your city? Select all that apply (vwzlz5r),What is your race or ethnicity? (Select all that apply) (d8morv7),How did you find this survey? (yyxwhnl),age,gender,education,yearOfBirth,educationScore,politicalViews,householdIncome,femaleAs1MaleAs0,politicalLiberalness,householdIncomeScore,householdIncomeEstimate,How did surveillance make you feel or impact you? (urjiu1g),How concerned are you about local Automatic License Plate Reader (ALPR) data being shared with federal agencies like ICE or the FBI? (izclv6s),The San Francisco Standard recently reported that the San Francisco and Oakland Police Departments shared Automatic License Plate Reader (ALPR) data with federal agencies like ICE — in violation of state law. How concerned does this make you feel? (dgwct6r)
16226686,39,,2025-08-07 7:50:24,,3.47,7h99xur,0,,No,94124,pccc3a120,pbcbe74c3,pffe2652f,2025/08/07 12:48 AM,United States,c3165a97c07b1d137ecfb2b448246f2531c68f0a,smartphone,"Drones,Speed Cameras",3 = Moderately concerned,4 = Often,1 = Not at all familiar,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,3 = Neutral / Not sure,4 = Somewhat support,No,4 = Very concerned,3 = Equally both,Police,Local elected officials,2 = Slightly important,2 = Unlikely,1 = Strongly disagree,2 = Somewhat disagree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",,Instagram,27,female,completedOnlyHighSchoolOrTheEquivalent,1998,2,Moderate,"$25,000 to $39,999",1,0,2,32500,,2 = Slightly concerned,4 = Very concerned
16226697,39,,2025-08-07 7:52:43,,2.82,7h99xur,0,,Not sure,94541,pa166a260,pc414a6fc,pffe2652f,2025/08/07 12:50 AM,United States,7bf23725ab3dfe6669ca7edf04b4390fdfe378d6,smartphone,None of the above,3 = Moderately concerned,3 = Sometimes,1 = Not at all familiar,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,2 = Slightly aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Not sure,3 = Moderately concerned,4 = Mostly for social control,Local government,Community organizations,3 = Moderately important,3 = Unsure,1 = Strongly disagree,3 = Neutral,3 = Neutral,Require more transparency,Middle Eastern or North African,Flyer,29,female,completedOnlyHighSchoolOrTheEquivalent,1996,2,Very liberal,"$60,000 to $84,999",1,2,4,72500,,3 = Moderately concerned,4 = Very concerned
16226740,39,,2025-08-07 8:06:55,,3.85,7h99xur,0,,No,95050,pd04d83bd,pad6ba79a,pffe2652f,2025/08/07 1:04 AM,United States,37ece62922f6fe9c1503c0b2d45d801abb472c2e,desktop,"Surveillance/security cameras,Facial recognition technology,Speed Cameras",1 = Not at all concerned,2 = Rarely,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,4 = Somewhat support,4 = Somewhat support,No,2 = Slightly concerned,3 = Equally both,Police,Community members,5 = Absolutely essential,4 = Likely,3 = Neutral,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,on line,77,female,completedMastersDegree,1948,6,Very liberal,"$200,000 or more",1,2,8,225000,,5 = Extremely concerned,5 = Extremely concerned
16226831,39,,2025-08-07 8:34:48,,4.07,7h99xur,0,,No,94582,pd5b5ab8e,pb034bc1a,pffe2652f,2025/08/07 1:32 AM,United States,1097fe4d3bd3728663e1ff23c11a120fbea27f3b,smartphone,"Drones,Speed Cameras",5 = Extremely concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,1 = Strongly oppose,3 = Neutral / Not sure,Not sure,2 = Slightly concerned,3 = Equally both,"Police,Federal Government",Police department,2 = Slightly important,4 = Likely,1 = Strongly disagree,3 = Neutral,3 = Neutral,"Ban them,Reduce use",White,Instagram,34,female,completedOnlyHighSchoolOrTheEquivalent,1991,2,Conservative,"$200,000 or more",1,-1,8,225000,,5 = Extremely concerned,3 = Moderately concerned
16226963,39,,2025-08-07 9:12:53,,5.58,7h99xur,0,,No,94582,pa7bc7166,pcde3b138,pffe2652f,2025/08/07 2:09 AM,United States,7e12f1e95884795de4ab6e722e95b65b54f9ad90,smartphone,Speed Cameras,1 = Not at all concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,4 = Somewhat support,4 = Somewhat support,No,2 = Slightly concerned,2 = Mostly for public safety,Police,"Local elected officials,Police department,Community organizations,Community members",3 = Moderately important,3 = Unsure,1 = Strongly disagree,3 = Neutral,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,MyPoints,58,female,completedBachelorsDegree,1967,5,Moderate,"$150,000 to $199,999",1,0,7,175000,,1 = Not at all concerned,2 = Slightly concerned
16227030,39,,2025-08-07 9:34:36,,4.23,7h99xur,0,,Yes,94552,pc978e85a,pc73f9e0e,pffe2652f,2025/08/07 2:32 AM,United States,3b8f479114ec232430bdeea3f28caac3352a5e0a,smartphone,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,2 = Rarely,3 = Somewhat familiar,2 = Slightly aware,2 = Slightly aware,3 = Somewhat aware,2 = Slightly aware,1 = Not at all aware,5 = Strongly support,4 = Somewhat support,No,1 = Not concerned at all,1 = Entirely for public safety,"Police,Local government,Federal Government",Police department,2 = Slightly important,4 = Likely,5 = Strongly agree,1 = Strongly disagree,5 = Strongly agree,"Require more transparency,Increase use",White,Survey Junkie,28,male,completedBachelorsDegree,1997,5,Conservative,"$150,000 to $199,999",0,-1,7,175000,,1 = Not at all concerned,1 = Not at all concerned
16227100,39,,2025-08-07 9:54:42,,1.38,izclv6s,0,,Yes,,pb9d67a97,pdd26e2ce,pffe2652f,2025/08/07 2:53 AM,United States,ff198536a8d7b96d8548735b79cb75460c637db0,tablet,Surveillance/security cameras,2 = Slightly concerned,4 = Often,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,2 = Somewhat oppose,1 = Strongly oppose,No,2 = Slightly concerned,3 = Equally both,"Police,Local government,Federal Government",Local elected officials,2 = Slightly important,,,,,,,,25,female,nurseryTo8thGrade,2000,1,Liberal,"Less than $9,999",1,1,0,4500,,,
16227195,39,,2025-08-07 10:15:59,,7.68,7h99xur,0,,Yes,94564,pf110bff7,paa0ebfc0,pffe2652f,2025/08/07 3:11 AM,United States,02e4724cf63ce75c7825985e004da0806fc51813,smartphone,"Surveillance/security cameras,Speed Cameras",4 = Very concerned,4 = Often,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,2 = Somewhat oppose,Yes,5 = Extremely concerned,5 = Entirely for social control,No one — it shouldn’t be collected,"Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,Ban them,Black or African American,Tik tok,34,female,completedOnlyHighSchoolOrTheEquivalent,1991,2,Liberal,"$85,000 to $114,999",1,1,5,100000,U do not like to be surveillance because I should have the right not to be on camera without my permission. It’s very scary.,5 = Extremely concerned,5 = Extremely concerned
16227815,39,,2025-08-07 13:13:46,,7.53,7h99xur,0,,Not sure,94954,pfe9fca5e,pdb67247a,pffe2652f,2025/08/07 6:06 AM,United States,293ae158e7c8d449b8bad70ff5872551eb5da193,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Facial recognition technology,Speed Cameras",1 = Not at all concerned,4 = Often,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,5 = Strongly support,3 = Neutral / Not sure,No,1 = Not concerned at all,2 = Mostly for public safety,"Police,Federal Government",Police department,1 = Not important at all,4 = Likely,3 = Neutral,3 = Neutral,4 = Somewhat agree,Require more transparency,White,Google,63,female,completedTradeTechicalVocationalTraing,1962,3,Conservative,"$115,000 to $149,999",1,-1,6,132500,,1 = Not at all concerned,1 = Not at all concerned
16228025,39,,2025-08-07 13:57:07,,3.18,7h99xur,0,,No,94109,pdebbb881,pc82fdd1e,pffe2652f,2025/08/07 6:54 AM,United States,2a1d7e370cdcfb605cc227d5e5aaeef0f06763d4,smartphone,Speed Cameras,4 = Very concerned,4 = Often,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,Prefer not to say,3 = Moderately concerned,3 = Equally both,No one — it shouldn’t be collected,"Local elected officials,Community organizations",3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,Require public approval,Prefer not to say,Email,50,male,completedProfessionalDegree,1975,7,Moderate,"$200,000 or more",0,0,8,225000,,3 = Moderately concerned,3 = Moderately concerned
16228049,39,,2025-08-07 14:01:11,,4.82,7h99xur,0,,No,94560,pbd7bdf5d,pd66dc4ff,pffe2652f,2025/08/07 6:59 AM,United States,55260b66c13ef7cfc3b71e2e2c9cf6bd0ee750f5,smartphone,"Surveillance/security cameras,Drones,Speed Cameras",2 = Slightly concerned,4 = Often,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,1 = Not concerned at all,2 = Mostly for public safety,Police,Police department,3 = Moderately important,4 = Likely,3 = Neutral,3 = Neutral,4 = Somewhat agree,Require more transparency,White,Direct email from veraSight,43,female,completedOnlyHighSchoolOrTheEquivalent,1982,2,Moderate,"$150,000 to $199,999",1,0,7,175000,,2 = Slightly concerned,4 = Very concerned
16228098,39,,2025-08-07 14:10:21,,11.5,7h99xur,0,,No,94306,pffb939eb,pce2276cd,pffe2652f,2025/08/07 7:05 AM,United States,acd41ccaa3269b5c17d7c8c6fa38b0b25d054bf7,smartphone,None of the above,2 = Slightly concerned,1 = Never,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,3 = Neutral / Not sure,Prefer not to say,5 = Extremely concerned,4 = Mostly for social control,No one — it shouldn’t be collected,"Community organizations,Community members",5 = Absolutely essential,3 = Unsure,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Middle Eastern or North African,Email,30,male,completedAssociateDegreeOnly,1995,4,Liberal,"Less than $9,999",0,1,0,4500,,5 = Extremely concerned,5 = Extremely concerned
16228125,39,,2025-08-07 14:16:49,,5.57,gsf76i9,0,,,,pf27dc149,paaae800d,pffe2652f,2025/08/07 7:14 AM,United States,440c4514cf2ad5015befa5878e8893a4df6e7918,desktop,,,,,,,,,,,,,,,,,,,,,,,,,41,male,completedMastersDegree,1984,6,Very conservative,"$200,000 or more",0,-2,8,225000,,,
16228142,39,,2025-08-07 14:21:55,,13.53,7h99xur,0,,No,95023,pdd203c4c,pc7f3a15f,pffe2652f,2025/08/07 7:17 AM,United States,17742b74e70dacaf3340fd91e69f5920a49c1771,desktop,Surveillance/security cameras,2 = Slightly concerned,2 = Rarely,2 = Slightly familiar,3 = Somewhat aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,3 = Moderately concerned,2 = Mostly for public safety,,"Local elected officials,Police department",4 = Very important,3 = Unsure,4 = Somewhat agree,3 = Neutral,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",White,Branded Surveys,77,female,completedAssociateDegreeOnly,1948,4,Moderate,"$60,000 to $84,999",1,0,4,72500,,4 = Very concerned,4 = Very concerned
16228276,39,,2025-08-07 14:50:28,,5.3,7h99xur,0,,No,94515,pcacfdc10,pac4aad4b,pffe2652f,2025/08/07 7:47 AM,United States,076194c348e900ca3500164b8ebd0152df6c9aaa,desktop,Surveillance/security cameras,1 = Not at all concerned,4 = Often,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,1 = Strongly oppose,No,5 = Extremely concerned,4 = Mostly for social control,"Police,Local government",Local elected officials,5 = Absolutely essential,4 = Likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,"Ban them,Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,On Verasight,71,male,completedBachelorsDegree,1954,5,Liberal,"$25,000 to $39,999",0,1,2,32500,,5 = Extremely concerned,5 = Extremely concerned
16228336,39,,2025-08-07 15:00:24,,3.03,7h99xur,0,,Not sure,94303,paa31db29,paf7fbf04,pffe2652f,2025/08/07 7:58 AM,United States,ff5f2bfa1d8faf3f6008d6d1312dfa21e168245b,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs)",3 = Moderately concerned,4 = Often,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,4 = Somewhat support,No,5 = Extremely concerned,2 = Mostly for public safety,Police,"Community organizations,Community members",4 = Very important,3 = Unsure,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Hispanic or Latino,White",Instagram,20,female,completedOnlyHighSchoolOrTheEquivalent,2005,2,Conservative,"$25,000 to $39,999",1,-1,2,32500,,5 = Extremely concerned,5 = Extremely concerned
16228348,39,,2025-08-07 15:02:56,,2.5,7h99xur,0,,Not sure,94114,pfdc0446c,pc9f53647,pffe2652f,2025/08/07 8:01 AM,United States,0b24c3393556f3e2c7241ebf65e9a3c72bc5a557,desktop,"Surveillance/security cameras,Drones,Speed Cameras",2 = Slightly concerned,2 = Rarely,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,3 = Moderately concerned,3 = Equally both,Police,Community organizations,3 = Moderately important,3 = Unsure,3 = Neutral,3 = Neutral,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",White,Friend,51,male,completedBachelorsDegree,1974,5,Liberal,"$85,000 to $114,999",0,1,5,100000,,3 = Moderately concerned,3 = Moderately concerned
16228379,39,,2025-08-07 15:09:28,,19.83,7h99xur,0,,Yes,11218,pdf595eee,pa97ddb98,pffe2652f,2025/08/07 7:59 AM,United States,43cd9161ddf70dd1aa175e0da8f9dd5dcd3a51d0,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology",3 = Moderately concerned,3 = Sometimes,2 = Slightly familiar,3 = Somewhat aware,4 = Very aware,3 = Somewhat aware,4 = Very aware,2 = Slightly aware,5 = Strongly support,5 = Strongly support,No,3 = Moderately concerned,2 = Mostly for public safety,"Police,Local government,Private companies,Federal Government","Local elected officials,Police department,Community members",4 = Very important,3 = Unsure,2 = Somewhat disagree,2 = Somewhat disagree,5 = Strongly agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval,Increase use",Hispanic or Latino,Positly,39,male,completedBachelorsDegree,1986,5,Moderate,"$150,000 to $199,999",0,0,7,175000,,2 = Slightly concerned,3 = Moderately concerned
16228428,39,,2025-08-07 15:22:02,,4.67,7h99xur,0,,No,95023,pa159bb56,pbe685f5d,pffe2652f,2025/08/07 8:19 AM,United States,3da7be879536a0cbdd1b46f76610f75221697133,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",2 = Slightly concerned,2 = Rarely,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,3 = Somewhat aware,4 = Somewhat support,3 = Neutral / Not sure,No,1 = Not concerned at all,2 = Mostly for public safety,"Police,Local government,Federal Government","Local elected officials,Police department",2 = Slightly important,2 = Unlikely,4 = Somewhat agree,4 = Somewhat agree,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Keep things as they are",White,Tik tok,18,female,completedOnlyHighSchoolOrTheEquivalent,2007,2,Conservative,"Less than $9,999",1,-1,0,4500,,1 = Not at all concerned,1 = Not at all concerned
16228588,39,,2025-08-07 16:02:28,,0,gsf76i9,0,,,,paf52d51f,pc22698c5,pffe2652f,2025/08/07 8:59 AM,United States,dda8d74e6feff9d06277ae68b69ca22708b5c3ef,smartphone,,,,,,,,,,,,,,,,,,,,,,,,,60,female,completedAssociateDegreeOnly,1965,4,Moderate,"$85,000 to $114,999",1,0,5,100000,,,
16228590,39,,2025-08-07 16:03:10,,1.1,7h99xur,0,,Yes,94509,paea4e19a,pa1950eb7,pffe2652f,2025/08/07 9:00 AM,United States,54cc0d78df3abca036cc8a269aed7f945ec3a852,smartphone,Surveillance/security cameras,3 = Moderately concerned,3 = Sometimes,4 = Very familiar,1 = Not at all aware,2 = Slightly aware,4 = Very aware,3 = Somewhat aware,3 = Somewhat aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,3 = Moderately concerned,3 = Equally both,Local government,Police department,2 = Slightly important,2 = Unlikely,3 = Neutral,3 = Neutral,3 = Neutral,"Require more transparency,Keep things as they are",Black or African American,Email,31,female,nurseryTo8thGrade,1994,1,Moderate,"Less than $9,999",1,0,0,4500,,5 = Extremely concerned,1 = Not at all concerned
16228728,39,,2025-08-07 16:30:32,,3.48,7h99xur,0,,No,95616,pcc4753a2,pbe0d5fbb,pffe2652f,2025/08/07 9:28 AM,United States,9ae4d7c119f91b438beb7e1426f4528ec9567037,smartphone,"Surveillance/security cameras,Drones,Speed Cameras",2 = Slightly concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,Yes,5 = Extremely concerned,5 = Entirely for social control,No one — it shouldn’t be collected,"Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Hispanic or Latino,Qmee,22,female,completedBachelorsDegree,2003,5,Very liberal,"$40,000 to $59,999",1,2,3,50000,It makes me feel like i’m being watched all the time and it makes me uncomfortable.,5 = Extremely concerned,5 = Extremely concerned
16229475,39,,2025-08-07 18:55:27,,3.68,7h99xur,0,,Yes,95132,pd568f4dc,pba9f0cdc,pffe2652f,2025/08/07 11:53 AM,United States,9803abe456db5396448b79dfdd3f68e1c73466c4,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",2 = Slightly concerned,3 = Sometimes,4 = Very familiar,3 = Somewhat aware,5 = Fully aware,5 = Fully aware,5 = Fully aware,3 = Somewhat aware,5 = Strongly support,5 = Strongly support,No,1 = Not concerned at all,2 = Mostly for public safety,"Police,Local government,Federal Government","Police department,Community organizations",4 = Very important,5 = Very likely,5 = Strongly agree,2 = Somewhat disagree,4 = Somewhat agree,"Require more transparency,Require public approval,Increase use",Asian or Pacific Islander,Verasight,45,male,completedMastersDegree,1980,6,Liberal,"$85,000 to $114,999",0,1,5,100000,,1 = Not at all concerned,1 = Not at all concerned
16230699,39,,2025-08-07 20:57:58,,3.93,7h99xur,0,,No,94611,pd4a54585,pc575f184,pffe2652f,2025/08/07 1:54 PM,United States,bbba5821dea8d68471e1f36b535706ef2dc9f94c,desktop,,2 = Slightly concerned,1 = Never,2 = Slightly familiar,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,2 = Slightly aware,2 = Slightly aware,4 = Somewhat support,4 = Somewhat support,No,2 = Slightly concerned,2 = Mostly for public safety,"Police,Local government",Local elected officials,4 = Very important,4 = Likely,4 = Somewhat agree,3 = Neutral,4 = Somewhat agree,Require public approval,Asian or Pacific Islander,Versight,78,male,completedBachelorsDegree,1947,5,Liberal,"$40,000 to $59,999",0,1,3,50000,,2 = Slightly concerned,1 = Not at all concerned
16231052,39,,2025-08-07 21:30:08,,4.6,7h99xur,0,,No,95687,pf394c38f,pa0319f7a,pffe2652f,2025/08/07 2:26 PM,United States,eb21ab801c1baf27f5a18d630c303ea3d16a093c,smartphone,"Surveillance/security cameras,Drones,Speed Cameras",1 = Not at all concerned,3 = Sometimes,3 = Somewhat familiar,3 = Somewhat aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,2 = Slightly concerned,4 = Mostly for social control,"Police,Federal Government",None,4 = Very important,5 = Very likely,2 = Somewhat disagree,4 = Somewhat agree,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Black or African American,Survey Junkie,57,female,completedBachelorsDegree,1968,5,Very conservative,"$40,000 to $59,999",1,-2,3,50000,,2 = Slightly concerned,2 = Slightly concerned
16232072,39,,2025-08-07 23:39:34,,2.75,7h99xur,0,,Yes,94403,pd4dcdfed,pb05b6802,pffe2652f,2025/08/07 4:37 PM,United States,949f2f79346634b0f26270b2e91ea4c35d4ed94f,smartphone,"Surveillance/security cameras,Speed Cameras",4 = Very concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,2 = Somewhat oppose,Not sure,2 = Slightly concerned,3 = Equally both,No one — it shouldn’t be collected,"Community organizations,Community members",1 = Not important at all,4 = Likely,1 = Strongly disagree,1 = Strongly disagree,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Asian or Pacific Islander,Survey Junkie,26,male,completedBachelorsDegree,1999,5,Moderate,"$85,000 to $114,999",0,0,5,100000,,2 = Slightly concerned,3 = Moderately concerned
